text,polarity,subjectivity,pred class,actual class
clear skin is more important than lighter skin  clears your skin that's enough , 0.25 , 0.6 , pos,
i'm proud of my dark skin i don't want to be fair you should be happy with what you are , 0.54 , 0.82 , pos,
melanin is very important dear   prevents cancer , 0.52 , 1.0 , pos,
one word do what u like n love what you do , 0.5 , 0.6 , pos,
flash light in front of us is clearly visible , 0.25 , 0.54 , pos,
and also melanin is so important  it prevents cancer  and the chemicals which you used decreases melanin content and increases the probability of cancer , 0.4 , 1.0 , pos,pos
don't believe them they all are giving paid reviews , 0.0 , 0.0 , neg,
this is the kind audience base we need in india more  all the comments i see here are about being happy with our original skin color , 0.3 , 0.83 , pos,pos
don't advertise these things , 0.0 , 0.0 , neg,
harms others , 0.0 , 0.0 , neg
this particular brand pays youtubers to review them i seriously don't get the ethics these kinds youtubers have  no sense at all , -0.08 , 0.5 , neg
after 3mnths you look the same as before , 0.0 , 0.12 , neg
i'm a type of person who looks good only on my dark skin i never used filters for my pics  my darkness gives me happiness all matters is your  personality , 0.31 , 0.55 , pos
are you a doctor  long term use of it can have adverse effects even life threatening so i request you not to advertise such things? , -0.03 , 0.45 , neg
a real beauty , 0.2 , 0.3 , pos
they are all doing for money  they have their sales profit in the product , 0.0 , 0.0 , neg
can't take this much of gin in my mind , 0.2 , 0.2 , pos
this doesn't make you beautiful  still you look average , 0.35 , 0.7 , pos
what is the cost of 500 mg doses and where can i purchase it  seems promising? , 0.2 , 0.5 , pos
o thoughtless   mortals   ever blind to fate   to soon defected too soon to elate  beauty in vain   pretty eyes may roll , -0.12 , 0.83 , neg
but where is glowing , 0.0 , 0.0 , neg
i have extreme freckles all over my face and that makes me insecure about my looks and people even look me like they're disgusted that makes me very awkward about my looks so i heard that gluten also helps lighten freckles , -0.6 , 0.97 , neg
obsessed with glutathione tablets  drips etc. whenever i see your videos its like there's nothing beside skin whitening  are you trying to be the female version of michael jackson , -0.25 , 0.58 , neg
now a days she is more passionate about money money and honey  keep continue didi , 0.23 , 0.68 , pos
as a dermatologist i used many of glutathione oral products but none of them work even after 3 months , 0.5 , 0.5 , pos
does not work? , 0.0 , 0.0 , neg
please stop making insane videos like this  dark skin is beautiful and people like you should stop promoting this product being educated , -0.1 , 0.8 , neg
just have different types of juices and prevent from the sun  that's enough   if this works everyone will become color right , 0.1 , 0.55 , pos
you need to take eye drops , 0.0 , 0.0 , neg
people in the comment section loving themselves for their dark skin stop insulting us , -0.18 , 0.78 , neg
this girl is rat of labs , 0.0 , 0.0 , neg
as per your video in may 2018  you have given  the feedback on now you are saying it works , 0.0 , 0.0 , neg
great one more video to encourage fair skin  when will this obsession for fairness go , 0.67 , 0.72 , pos
is it permanent in the color change or i have to use whole life? , 0.2 , 0.4 , pos
i love my dark skin , 0.17 , 0.5 , pos
thanks for the knowledge , 0.2 , 0.2 , pos
people loving their color  that age is gone fair and lovely one , 0.6 , 0.87 , pos
actually i'm living in my kennel because i'm a dog breeder so just because of that i have to work in direct sunlight please for that thing which kind of precaution i have to follow to get best results , 0.42 , 0.42 , pos
did you consult any doctor before taking these tablets? , 0.0 , 0.0 , neg
love you sister , 0.5 , 0.6 , pos
i am worried about this girls mental balance try to be organic , -0.1 , 0.2 , neg
mitochondria theory of ageing or b much effect karta h kya ye , 0.2 , 0.2 , pos
this is harmful , 0.0 , 0.0 , neg
you guys need to be sued for playing with others health and taking an undue advantage of insecurities of people , 0.0 , 0.0 , neg
used for 4 months just a waste of money , -0.2 , 0.0 , neg
i'm 53 years old medium complexion , 0.1 , 0.2 , pos
be happy with what you have , 0.8 , 1.0 , pos
everyone is beautiful in this world  so love yourself , 0.68 , 0.8 , pos
where can i find this , 0.0 , 0.0 , neg
